word,reading,meaning_en,pos,common
量定,りょうてい,assessment (of a sentence),"n,vs,vt",False
国賠,こくばい,state indemnity,n,False
二審,にしん,second instance,n,False
減軽,げんけい,reduction (of a sentence),"n,vs,vt",False
医師法,いしほう,Medical Practitioners' Act,n,False
外為法,がいためほう,Foreign Exchange and Foreign Trade Act,n,False
禁反言,きんはんげん,estoppel,n,False
原判決,げんはんけつ,original judgement,n,False
工作物,こうさくぶつ,(a) construction,n,False
再犯者,さいはんしゃ,second offender,n,False
参考人,さんこうにん,invited witness,n,False
事業主,じぎょうぬし,employer,n,False
主犯者,しゅはんしゃ,principal offender,n,False
召喚状,しょうかんじょう,(writ of) summons,n,False
少年法,しょうねんほう,Juvenile Act,n,False
不文法,ふぶんほう,unwritten law,n,False
有体物,ゆうたいぶつ,tangible thing,n,False
違警罪,いけいざい,misdemeanor,n,False
遺言者,ゆいごんしゃ,testator,n,False
控訴権,こうそけん,right of appeal,n,False
破防法,はぼうほう,Subversive Activities Prevention Act,n,False
破産法,はさんほう,Bankruptcy Act,n,False
禁治産,きんちさん,incompetency,n,False
堕胎罪,だたいざい,illegal abortion,n,False
放送法,ほうそうほう,Broadcast Act,n,False
親告罪,しんこくざい,offense requiring a formal complaint in order to prosecute,n,False
自由刑,じゆうけい,freedom-restricting punishment,n,False
自然人,しぜんじん,natural person,n,False
追起訴,ついきそ,supplementary indictment,"n,vs,vt",False
不作為,ふさくい,forbearance,n,False
成文法,せいぶんほう,written law,n,False
成文律,せいぶんりつ,written law,n,False
電波法,でんぱほう,the Radio Law,n,False
会社法,かいしゃほう,corporate law,n,False
傷害罪,しょうがいざい,(crime of) inflicting bodily injury,n,False
詐欺罪,さぎざい,fraud,n,False
訴訟法,そしょうほう,procedural law (as opposed to substantive law),n,False
強制力,きょうせいりょく,legal force,n,False
漁業法,ぎょぎょうほう,Fishery Act,n,False
慣習法,かんしゅうほう,common law,n,False
森林法,しんりんほう,Forest Act,n,False
最賃法,さいちんほう,Minimum Wage Act,n,False
道交法,どうこうほう,Road Traffic Act,n,False
強姦罪,ごうかんざい,(crime of) rape,n,False
消防法,しょうぼうほう,Fire Service Act,n,False
実定法,じっていほう,positive law (i.e. law made by humans),n,False
横領罪,おうりょうざい,embezzlement,n,False
海洋法,かいようほう,law of the sea,n,False
初犯者,しょはんしゃ,first offender,n,False
大会社,だいがいしゃ,company with over 500 million yen in capital or over 20 billion yen in liabilities,n,False
内閣法,ないかくほう,Cabinet Act,n,False
銃刀法,じゅうとうほう,Act for Controlling the Possession of Firearms or Swords and Other Such Weapons,n,False
国籍法,こくせきほう,Nationality Act,n,False
統計法,とうけいほう,Statistics Act,n,False
労組法,ろうそほう,Labor Union Act,n,False
衡平法,こうへいほう,equity,n,False
基本権,きほんけん,fundamental right,n,False
社会権,しゃかいけん,social right,n,False
法人格,ほうじんかく,legal personality,n,False
和解案,わかいあん,settlement,n,False
医療法,いりょうほう,Medical Care Act,n,False
公訴権,こうそけん,authority of prosecution,n,False
港則法,こうそくほう,Port Regulations Act,n,False
大震法,たいしんほう,Act on Special Measures Concerning Countermeasures for Large-Scale Earthquakes,n,False
大店法,だいてんほう,Large-scale Retail Stores Act,n,False
公選法,こうせんほう,Public Offices Election Act,n,False
出資法,しゅっしほう,"Act Regulating the Receipt of Contributions, the Receipt of Deposits, and Interest Rates",n,False
準強姦,じゅんごうかん,incapacitated rape,n,False
刑事罰,けいじばつ,criminal punishment,n,False
自然犯,しぜんはん,malum in se,n,False
法定犯,ほうていはん,malum prohibitum,n,False
日銀法,にちぎんほう,Bank of Japan Act,n,False
姦淫罪,かんいんざい,sex crimes,n,False
既判力,きはんりょく,res judicata,n,False
確定力,かくていりょく,"power of finality (of a legal decision, e.g. when a case is dismissed with prejudice)",n,False
争点効,そうてんこう,collateral estoppel,n,False
信義則,しんぎそく,fair and equitable principle,n,False
判例集,はんれいしゅう,law reports,n,False
弁護側,べんごがわ,the defence,n,False
検察側,けんさつがわ,the prosecution,n,False
準抗告,じゅんこうこく,jun-kokoku appeal,n,False
兵役法,へいえきほう,Military Service Law (1927-1945),n,False
制定法,せいていほう,statute law,n,False
準拠法,じゅんきょほう,applicable law,n,False
特商法,とくしょうほう,Act on Specified Commercial Transactions,n,False
銀行法,ぎんこうほう,Banking Act,n,False
重過失,じゅうかしつ,gross negligence,n,False
契約法,けいやくほう,contract law,n,False
労基法,ろうきほう,Labor Standards Act,n,False
共謀罪,きょうぼうざい,(criminal) conspiracy,n,False
不遡及,ふそきゅう,non-retroactivity,n,False
事後審,じごしん,judicial review by a higher court without introducing new evidence,n,False
タリオ,,lex talionis,n,False
予備罪,よびざい,crime of plotting a crime,n,False
元号法,げんごうほう,Era Name Act,n,False
審査権,しんさけん,judicial review (e.g. of the constitutionality of a law),n,False
鉱業法,こうぎょうほう,Mining Act,n,False
信託法,しんたくほう,trust law,n,False
幇助罪,ほうじょざい,(crime of) aiding and abetting,n,False
主尋問,しゅじんもん,direct examination,n,False
特飲店,とくいんてん,brothel,n,False
中止犯,ちゅうしはん,would-be crime abandoned before being carried out,n,False
特措法,とくそほう,special measures law,n,False
証明力,しょうめいりょく,credibility,n,False
